generation,max,mean,std,min
225,728.0043350322546,573.2211237546252,214.77072658000142,-36.12354536399021
226,749.6664427146981,554.908773309763,194.146590723079,203.3102639028819
227,732.7098143175157,511.6289158059595,280.0050404013073,-306.2050288231497
228,727.084032419792,396.770246005762,337.6415949705252,-347.19200091766106
229,743.6575695515545,538.817883917983,346.45671717426535,-331.37719023883375
230,741.4428121180188,532.8592340207247,346.2482241012801,-328.0554231222929
231,726.2722626652188,372.9680702785342,340.19625236797657,-182.0789114785995
232,739.4220223703556,238.71036895825532,453.6054147682334,-550.1945065321254
233,743.9686107144553,572.7564461883126,339.46582703100626,-335.69643816986866
234,740.4808452708553,367.5046217498767,440.9371085577912,-391.2303761241065
235,745.127110969444,612.2411413449028,212.08839471301343,23.384433221046606
236,732.8761729799913,495.9129269006931,343.1539989956134,-330.37378768889425
237,737.92210999957,515.9515877699432,341.0752120739482,-337.50311090546455
238,750.8460037889711,655.5355398117093,140.58190157813132,246.7483033702634
239,733.8602703924994,637.510947484717,110.94966164803157,431.80074130815586
240,739.1161335744182,631.2469677655338,201.42876036679223,29.369010629900508
241,734.8841885340194,648.0611458384858,186.82548626464154,-2.080884786523973
242,739.3860989453176,645.2767686649663,141.78489371695642,290.7611186136907
243,741.1270307256897,690.6143270122983,118.26233584524365,256.3706244697944
244,742.401746374761,686.8225005131725,103.24283218263544,341.71286634992146
245,742.8585855946246,724.2925542261642,9.892628131791568,703.3752844598403
246,739.1104528680273,658.7652827976674,122.29476159327747,351.9202060779666
247,733.2786048717804,653.0765442395925,162.27968841408438,85.62905568697391
248,736.2918820064734,572.5000560168245,206.4613253302002,115.51614188022619
249,735.9477628104704,640.0299912199808,178.3357306752841,219.23353152646538
250,743.3330686780627,666.2848903163632,122.434210070236,400.2558831687015
251,738.3070226361872,618.8719460832057,194.67739794928366,114.64828473454432
252,738.4893610914488,661.2769620562698,117.97309340002893,316.88120832207653
253,734.0811129041657,650.1741731940679,148.6965288921979,208.06812941945148
254,744.6407601246109,654.0935586046453,110.1370092450083,426.4555871424121
255,742.5896403186631,665.9800045868094,102.75719070045476,407.9402126258444
256,746.6281157947137,627.8776087663797,181.57559142146744,82.44142613478287
257,744.0861625157415,641.4708828298402,179.75228943935338,158.34735204672157
258,739.1643245125457,696.9444838623147,87.07926165274691,374.9179947787204
259,739.9001402205735,692.2332676809528,91.09823403063463,400.1491405340258
260,738.9637107034415,681.4370276220169,125.65540112184563,215.9381894688268
261,751.2904124862938,685.9904561273771,150.4522233508395,125.1006658239809
