generation,max,mean,std,min
112,-21.812699518583443,-27.70422446621333,2.7143961230037172,-33.71053694336642
113,-23.259729772143515,-27.248913950597345,2.2396459520670597,-32.08835402780149
114,-19.15841727295244,-27.315508187385735,3.1412603933235035,-31.95506795739625
115,-21.30358813779355,-27.804610442900255,2.968004275703049,-34.34422153810901
116,-20.242917356310052,-28.130428083534273,3.7118216623046147,-36.53064092656374
117,-23.119511037732245,-27.921277483460486,2.4899452514543667,-32.13671558432532
118,-21.982577616720057,-26.890533864419393,2.8995643057961686,-32.92584395167625
119,-19.11603431689399,-28.033234280845953,3.1789089522538343,-33.717271589558834
120,-21.28859525740023,-27.940634692281012,2.699227392980125,-33.312032436315995
121,-21.326541447575327,-27.77309596403688,2.493226695648814,-31.716877983080202
122,-22.550670254679126,-27.758903318322833,2.466554899503247,-32.75876371365316
123,-20.928120332707344,-27.55725635190705,3.0259613233177034,-33.44100267004984
124,-22.036221750146773,-28.20415390773418,2.8739277565324794,-32.41970280144502
125,-19.060949427190376,-27.46002088262471,3.063059948620858,-33.37562402679219
126,-21.727591468606754,-27.21600179722339,2.7778319261769435,-35.84715010706854
127,-21.279844820169647,-27.472602758154913,2.505450948281823,-32.75144128904357
128,-21.4369618442573,-27.09019295523757,2.520586370247111,-31.510907020437365
129,-21.882932633861817,-27.28211611307914,2.7398524037495395,-32.015972341831336
130,-20.393609380309712,-27.33285656386941,2.9932994698287096,-33.31543174724855
131,-21.783581280427263,-26.070405947203835,2.836714048927649,-32.4543919974995
132,-19.367088944431654,-26.88995594284655,2.975798701736967,-33.91876409203565
133,-22.279439287933506,-28.335976849402073,2.3874639932124055,-32.80964032545097
134,-21.2607467336693,-26.927348082273525,2.7160355680608457,-32.26649050623412
135,-21.004313272994445,-27.422594903673197,2.930565457536324,-34.70298825102293
136,-21.199011850840606,-26.78694613004852,3.031487436422828,-32.41919111611539
137,-21.920767259788764,-27.85714482679,2.876206190970529,-31.70398978615911
138,-22.542733422912995,-26.78733444880388,2.1387514028618586,-30.567267314779098
139,-19.394949588563158,-28.184054686088235,2.902810798950937,-33.63076461402867
